음 식 명,식품중량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),칼륨(mg),인(mg),나트륨(mg),포화지방산(g),콜레스테롤(mg)
도가니탕,500g,40.0,0.82,8.35,0.33,0.0,29.0,13.0,150.0,0.13,18.34
도라지나물,60ml,36.0,5.35,0.8,1.47,0.48,99.0,31.0,133.0,0.2,0.0
도라지생채,160g,77.0,16.15,2.06,0.51,5.25,162.0,48.0,283.0,0.13,0.0
도미찜,226.7,52.0,3.22,7.9,0.91,0.92,126.0,127.0,85.0,0.15,24.37
도토리묵,116.9,55.0,9.91,1.1,1.27,0.15,64.0,19.0,363.0,0.2,0.0
돈가스,100g,280.0,15.89,13.85,17.94,4.99,224.0,188.0,343.0,3.16,26.48
돌솥밥,575ml,101.0,17.46,3.4,1.78,1.05,116.0,54.0,93.0,0.42,26.99
동그랑땡,150.0,312.4125,14.705999999999998,19.674,18.72300000000001,0.0,373.68749999999994,221.8875,579.8100000000001,,184.275
동치미,200g,14.0,2.28,0.29,0.37,1.45,87.0,12.0,412.0,0.01,0.0
동태전,100g,195.0,6.11,16.48,11.63,0.26,217.0,184.0,318.0,1.6,136.73
동태조림,250g,110.0,6.96,16.32,1.88,4.08,307.0,186.0,557.0,0.44,87.38
동태찌개,200g,44.0,1.72,6.11,1.37,0.13,174.0,87.0,273.0,0.2,26.68
돼지갈비,300g,194.0,7.44,13.29,12.32,0.13,332.0,162.0,478.0,3.68,50.07
돼지갈비찜,300g,194.0,7.44,13.29,12.32,0.13,332.0,162.0,478.0,3.68,50.07
돼지고기김치찌개,300g,48.0,2.26,6.25,1.51,0.13,156.0,56.0,255.0,0.21,10.95
돼지고기메추리알장조림,80ml,131.0,4.62,12.5,6.35,0.77,233.0,163.0,520.0,2.2,164.17
돼지고기볶음,250g,195.0,4.73,12.15,14.19,0.38,370.0,155.0,501.0,4.18,45.6
돼지고기수육,300.0,1218.1855999999998,8.694199999999999,61.4684,99.51639999999998,0.0,769.5208000000001,483.604,389.5309,,191.4
돼지국밥,809ml,72.0,12.55,2.1,1.16,0.41,35.0,22.0,143.0,0.41,2.93
돼지껍데기볶음,100g,348.0,3.37,23.74,26.64,3.42,61.0,35.0,475.0,9.08,35.76
된장찌개,200g,46.0,4.44,3.38,1.63,0.0,151.0,55.0,318.0,0.27,0.0
두부고추장조림,50g,143.0,4.4,9.64,9.66,3.64,187.0,151.0,161.0,1.36,0.0
두부구이,160ml,151.0,4.34,10.2,9.91,0.02,136.0,163.0,91.0,1.59,25.06
두부김치,400ml,66.0,3.6,3.8,3.96,1.04,147.0,71.0,116.0,0.59,0.0
두부부침,100g,140.0,2.07,10.92,9.77,0.24,213.0,193.0,429.0,1.45,0.0
두부전,160ml,151.0,4.34,10.2,9.91,0.02,136.0,163.0,91.0,1.59,25.06
두부전골,500g,63.0,3.42,5.12,3.22,0.7,144.0,87.0,330.0,0.48,1.77
들깨칼국수,700g,77.0,14.9,3.3,0.49,0.0,87.0,38.0,220.0,0.2,17.14
땅콩조림,20g,483.0,19.95,18.75,36.4,9.85,518.0,339.0,574.0,5.8,0.0
떡갈비,200g,202.0,2.46,21.38,11.82,0.4,299.0,170.0,404.0,4.29,68.04
떡국,700g,84.0,16.37,3.43,0.53,0.08,51.0,34.0,176.0,0.24,16.7
떡라면,550g,96.0,15.27,2.04,2.92,0.0,53.0,21.0,270.0,1.0,0.0
떡만둣국,600g,111.0,15.47,3.53,3.91,0.01,91.0,37.0,206.0,0.57,11.33
떡볶이,180g,144.0,25.96,3.51,2.96,4.4,84.0,46.0,391.0,0.28,2.34
라면,550g,82.0,13.65,1.72,2.28,0.0,57.0,20.0,283.0,0.82,0.0
라볶이,200g,134.0,20.14,2.83,4.71,0.94,106.0,35.0,311.0,1.47,2.52
마늘장아찌,100g,113.0,25.36,2.43,0.16,15.03,69.0,29.0,1127.0,0.04,0.0
마늘쫑무침,30g,106.0,12.77,2.73,4.93,7.47,241.0,57.0,313.0,0.63,0.0
마늘쫑장아찌,100g,118.0,27.34,1.96,0.14,13.02,105.0,19.0,1410.0,0.04,0.0
마파두부,160g,109.0,5.36,7.29,6.48,2.45,115.0,95.0,352.0,1.04,6.79
막국수,732.6,58.0,10.96,2.0,0.6,0.17,63.0,21.0,226.0,0.18,1.49
만둣국,700g,62.0,6.83,3.06,2.49,0.44,73.0,32.0,338.0,0.61,13.5
매운탕,650ml,34.0,1.89,5.7,0.52,0.5,143.0,82.0,209.0,0.09,42.29
매작과,30g,413.0,66.11,7.51,13.15,16.42,107.0,77.0,99.0,2.35,33.42
머위나물볶음,150g,72.0,5.07,2.33,4.67,1.2,179.0,54.0,479.0,0.53,0.0
메밀국수,400ml,86.0,17.96,2.5,0.32,1.44,58.0,26.0,255.0,0.08,0.0
메밀전병,100.0,166.141,24.821,5.792,5.496,0.0,274.485,137.628,340.662,,0.0
메추리알장조림,61.50,151.0,8.89,11.3,6.79,2.55,217.0,195.0,983.0,2.15,301.21
멸치볶음,50g,276.0,13.62,39.44,7.08,11.6,598.0,1081.0,2606.0,1.28,368.7
