음 식 명,식품중량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),칼륨(mg),인(mg),나트륨(mg),포화지방산(g),콜레스테롤(mg)
잡채,200g,146.0,24.26,4.71,3.3,0.73,201.0,61.0,360.0,0.55,22.66
잡채밥,550g,150.0,25.79,4.02,3.42,0.05,148.0,47.0,227.0,0.41,5.91
잡탕밥,750g,104.0,13.99,5.88,2.68,0.06,69.0,65.0,281.0,0.54,43.98
잣죽,259ml,121.0,17.92,2.5,4.42,0.35,19.0,55.0,144.0,0.34,0.0
장어덮밥,500ml,95.0,15.04,3.5,1.99,0.42,28.0,46.0,80.0,0.48,23.52
장어초밥,500ml,95.0,15.04,3.5,1.99,0.42,28.0,46.0,80.0,0.48,23.52
전복죽,400g,79.0,9.62,1.82,3.73,0.0,20.0,14.0,158.0,0.19,8.62
전주비빔밥,450g,142.0,18.84,6.86,4.32,0.05,180.0,79.0,232.0,0.95,42.26
전주콩나물국밥,830ml,59.0,10.22,2.6,0.84,0.22,52.0,36.0,57.0,0.22,18.69
절편,100g,197.0,43.58,3.82,0.8,0.08,29.0,46.0,258.0,0.25,0.0
제육덮밥,500.0,796.94,95.8,37.8,27.52,5.4,624.95,573.7,1375.6899999999998,,108.0
조기조림,300g,128.0,4.27,13.7,6.27,1.5,265.0,154.0,590.0,1.67,76.06
조기찜,241.9,71.0,2.58,9.2,2.53,0.88,253.0,92.0,126.0,0.61,22.99
족발,250g,233.0,0.93,26.04,13.91,0.0,206.0,643.0,345.0,4.66,91.72
주꾸미볶음,200g,106.0,11.41,9.16,2.6,2.53,159.0,77.0,459.0,0.3,100.38
주먹밥,291ml,135.0,25.52,2.3,2.09,0.88,32.0,39.0,105.0,0.36,0.0
쥐치채,20.0,53.387,10.1772,2.7684,0.198,6.6036,78.51100000000001,31.711000000000006,289.4502,,5.928000000000001
쥐포튀김,55ml,184.0,10.54,13.7,9.45,8.43,177.0,120.0,291.0,1.46,35.31
증편,100g,200.0,44.15,3.17,1.2,3.19,22.0,38.0,284.0,0.15,0.0
지리탕,600g,44.0,1.65,6.93,1.03,0.25,142.0,89.0,246.0,0.18,47.18
짜장라면,100g,177.0,31.0,3.66,4.28,0.63,75.0,41.0,306.0,1.69,0.0
짬뽕,800g,58.0,8.26,2.79,1.54,1.57,80.0,36.0,181.0,0.25,10.52
짬뽕라면,765ml,91.0,12.32,3.4,2.92,0.28,76.0,45.0,91.0,1.25,18.59
짬뽕밥,900g,72.0,11.65,3.2,1.4,1.34,138.0,53.0,234.0,0.23,15.78
쫄면,550g,129.0,23.26,3.21,2.52,3.51,130.0,43.0,250.0,0.22,0.0
찜닭,300g,107.0,0.6,12.37,6.09,0.0,166.0,113.0,224.0,0.98,66.22
찰떡,100.0,216.185,44.876,5.807,1.24,5.495,151.4,83.83,236.819,,0.0
참꼬막,80.0,89.76720000000002,4.920799999999999,12.983200000000004,2.1712,1.5984,329.7464,212.1496,400.228,,46.992
참치김밥,230g,140.0,19.98,4.84,4.55,0.0,118.0,55.0,307.0,1.1,19.3
참치김치찌개,300g,51.0,2.9,3.59,2.82,0.15,219.0,54.0,264.0,0.26,6.54
참치마요삼각김밥,94.50,185.0,30.58,4.8,4.4,0.24,82.0,64.0,179.0,0.67,3.92
참치죽,800g,82.0,13.07,3.02,2.01,0.17,71.0,31.0,168.0,0.23,5.0
찹쌀떡,100g,277.0,65.61,3.26,0.15,17.54,53.0,41.0,226.0,0.15,0.0
채소죽,400g,43.0,7.62,1.69,0.69,0.17,172.0,19.0,224.0,0.18,0.0
채소튀김,100ml,101.0,11.65,1.3,5.28,1.45,95.0,30.0,138.0,0.82,5.64
청국장찌개,200g,47.0,1.92,5.03,2.11,0.0,157.0,70.0,242.0,0.45,2.61
청포묵무침,150ml,43.0,6.54,1.3,1.68,0.72,55.0,20.0,282.0,0.27,5.92
총각김치,100g,42.0,7.89,1.92,0.29,3.0,331.0,44.0,630.0,0.05,0.0
추어탕,350g,54.0,3.07,3.24,3.18,0.0,95.0,85.0,246.0,0.31,15.84
취나물,50g,148.0,6.61,2.75,12.31,0.0,127.0,43.0,564.0,1.68,0.0
치즈김밥 ,230g,140.0,19.98,4.84,4.55,0.0,118.0,55.0,307.0,1.1,19.3
치즈돈가스,250.0,758.496,45.48479999999999,36.0192,46.1472,0.0,569.976,344.364,855.0455999999999,,146.4
치즈라면,550g,82.0,13.65,1.72,2.28,0.0,57.0,20.0,283.0,0.82,0.0
치킨가스,200g,296.0,22.01,13.96,16.96,2.08,197.0,194.0,390.0,4.21,36.48
치킨데리야끼,340g,208.0,15.21,16.54,9.01,0.11,233.0,122.0,267.0,2.59,53.29
치킨윙,100.0,219.419,9.965,11.405,14.23,2.4462,113.24,72.625,351.394,,66.0
카레라이스,480g,108.0,20.74,3.11,1.4,0.16,91.0,35.0,210.0,0.44,2.79
캘리포니아롤,300g,163.0,29.74,4.11,3.02,2.97,76.0,52.0,432.0,0.71,21.99
코다리조림,100g,86.0,4.16,16.46,0.4,3.67,353.0,163.0,466.0,0.17,66.8
콘스프,200g,135.0,35.372,3.0,14.016,1.5,-,-,140.0,3.5,40.706
콩국수,800g,81.0,8.92,3.9,3.35,0.24,109.0,45.0,67.0,0.17,0.0
콩나물,50.0,24.129,1.1449999999999998,1.6395,1.979,0.0,78.36399999999999,21.6145,203.4965,,0.0
콩나물국,400g,6.0,0.61,0.74,0.09,0.16,37.0,12.0,219.0,0.03,0.73
콩밥,250ml,136.0,27.6,3.3,0.79,0.35,81.0,50.0,1.0,0.17,0.0
콩비지찌개,400g,69.0,3.57,6.74,3.08,3.25,277.0,83.0,289.0,0.51,7.12
콩조림,30g,281.0,34.83,17.97,7.73,3.53,602.0,251.0,868.0,0.67,0.0
크림소스스파게티,395ml,138.0,21.11,4.1,3.95,1.42,148.0,60.0,52.0,0.97,4.0
탕국,250.0,94.2375,2.575,12.0775,4.32,0.0,250.61249999999998,220.635,663.0474999999999,,35.475
탕수육,343ml,113.0,11.21,6.7,4.4,3.33,156.0,75.0,146.0,0.98,31.11
탕평채,100g,97.0,12.26,3.55,3.81,0.39,72.0,47.0,260.0,0.73,47.24
토란국,400g,16.0,2.61,1.0,0.12,0.27,109.0,16.0,190.0,0.04,1.12
토마토소스스파게티,500g,129.0,18.64,4.87,3.83,3.12,219.0,75.0,302.0,1.09,9.83
토마토스프,180g,136.0,12.418,2.78,25.402,7.78,-,-,339.0,3.33,70.8
파김치,100g,49.0,8.51,2.5,0.58,2.8,282.0,41.0,655.0,0.11,0.0
파래무침,30g,49.0,4.97,3.53,1.7,1.73,509.0,64.0,736.0,0.2,2.17
파무침,150g,71.0,9.08,2.25,2.81,8.02,255.0,46.0,424.0,0.31,6.25
파전,221ml,101.0,14.47,3.0,3.04,0.15,71.0,33.0,162.0,0.57,21.96
팥죽,400g,81.0,16.66,3.17,0.19,0.02,114.0,42.0,127.0,0.07,0.0
표고버섯볶음,110ml,35.0,3.96,1.7,2.11,0.92,122.0,26.0,143.0,0.34,1.85
하이라이스,360g,112.0,21.34,4.02,1.13,0.0,77.0,36.0,246.0,0.13,2.83
한치초밥,245ml,189.0,28.65,10.0,3.14,2.45,129.0,131.0,394.0,0.9,63.44
해물덮밥,572ml,78.0,14.15,3.8,0.39,0.69,77.0,56.0,68.0,0.1,26.88
해물볶음,168.7,137.0,9.29,14.7,4.45,3.56,285.0,204.0,519.0,0.75,107.62
해물볶음밥,500ml,106.0,15.38,5.32,2.19,1.08,76.0,69.0,140.0,0.54,51.87
해물찜,500g,80.0,7.08,8.52,1.96,1.1,225.0,117.0,427.0,0.3,83.83
해물칼국수,1100m,77.0,14.64,3.09,0.4,0.22,65.0,35.0,252.0,0.1,5.06
해물탕,600g,45.0,2.77,6.63,0.78,0.13,157.0,92.0,341.0,0.13,78.25
해물파전,153ml,106.0,10.63,6.0,3.99,0.28,118.0,76.0,267.0,0.69,43.0
해파리냉채,85ml,31.0,5.64,1.5,0.46,3.23,67.0,28.0,321.0,0.07,0.97
햄김치찌개,300g,31.0,3.17,1.47,1.39,0.04,105.0,33.0,445.0,0.45,4.39
햄버거스테이크,200.0,436.75200000000007,21.35,24.924,28.052,0.0,786.996,258.454,920.262,,75.78
햄부침,100g,244.0,11.3,11.3,17.1,1.0,178.0,188.0,716.0,4.4,72.11
현미밥,230g,172.0,38.9,3.1,0.47,0.0,41.0,57.0,2.0,0.18,0.0
호박볶음,70ml,27.0,3.53,0.84,1.32,1.62,144.0,27.0,234.0,0.19,1.31
호박부침개,53.40,159.0,19.42,4.6,6.56,1.2,153.0,65.0,429.0,1.22,48.65
호박전,70ml,84.0,6.78,2.18,5.27,1.16,117.0,42.0,202.0,0.89,31.36
호박죽,400g,49.0,6.58,1.93,1.71,3.56,335.0,45.0,42.0,0.04,0.0
호박찌개,300g,32.0,4.07,1.87,0.87,1.93,157.0,37.0,341.0,0.13,3.09
홍어무침,200g,99.0,12.98,8.93,1.32,7.23,276.0,141.0,401.0,0.18,28.51
홍합미역국,300ml,5.0,0.32,0.7,0.16,0.0,25.0,13.0,78.0,0.03,2.06
황태해장국,600g,30.0,0.95,4.08,1.13,0.25,84.0,42.0,256.0,0.18,25.05
회냉면,732.6,80.0,14.38,3.4,0.87,1.43,77.0,41.0,294.0,0.2,16.38
회덮밥,500g,137.0,20.66,6.04,3.31,2.19,163.0,79.0,149.0,0.58,17.73
회무침,250g,82.0,8.6,8.09,1.65,4.53,348.0,124.0,275.0,0.52,26.4
훈제연어,100g,234.0,0.2,24.78,14.94,0.55,397.0,282.0,158.0,2.17,44.98
훈제오리,250g,319.0,4.83,17.22,25.63,0.11,199.0,249.0,488.0,6.39,68.4
흑미밥,300ml,120.0,25.73,2.3,0.37,0.17,33.0,38.0,1.0,0.1,0.0
